iter	RMSE
0	436299.7177
1	428471.5238
2	421254.6054
3	414707.1337
4	408593.5463
5	402462.0329
6	397201.0726
7	392156.1833
8	387267.2679
9	382698.5675
10	378456.1439
11	374617.5807
12	370896.2124
13	367593.6752
14	364471.0985
15	361411.8373
16	358595.4667
17	356073.3956
18	353620.0212
19	351461.9552
20	349311.3054
21	347245.0981
22	345258.75
23	343545.616
24	341742.9599
25	340074.4706
26	338594.4626
27	337110.9974
28	335724.2816
29	334401.9462
30	333245.9159
31	332160.2378
32	331074.4769
33	330027.0822
34	328995.4702
35	328085.976
36	327209.7525
37	326357.4869
38	325505.3413
39	324770.7134
40	324076.6948
41	323303.234
42	322624.9475
43	322014.0455
44	321323.6888
45	320726.0908
46	320125.1678
47	319607.7286
48	319108.1167
49	318548.4114
50	317969.4717
51	317567.9527
52	317072.7667
53	316538.8627
54	316101.5586
55	315723.4153
56	315286.8423
57	314895.9375
58	314442.7325
59	314007.4629
60	313653.7445
61	313243.4806
62	312847.4918
63	312505.8523
64	312153.5724
65	311822.792
66	311463.7787
67	311141.63
68	310854.1959
69	310488.7739
70	310153.5004
71	309838.1697
72	309485.4817
73	309168.3538
74	308923.3732
75	308590.4948
76	308334.0119
77	308062.3036
78	307833.6316
79	307603.193
80	307373.9165
81	307131.994
82	306879.3179
83	306644.8528
84	306391.3679
85	306146.8827
86	305938.6107
87	305758.0581
88	305521.0932
89	305314.4785
90	305111.8544
91	304903.549
92	304664.4657
93	304437.1129
94	304248.4281
95	304070.4913
96	303732.6283
97	303552.0527
98	303362.2542
99	303238.5245
100	303070.7619
101	302922.0069
102	302731.464
103	302504.1368
104	302304.2017
105	302149.0801
106	301993.2633
107	301757.1635
108	301623.9974
109	301523.6667
110	301289.7395
111	301121.7745
112	300905.8802
113	300726.7362
114	300567.5258
115	300441.7293
116	300292.0432
117	300146.7588
118	300008.8971
119	299869.2203
120	299755.8932
121	299572.4975
122	299414.591
123	299307.7095
124	299111.4399
125	298958.4162
126	298843.6906
127	298700.725
128	298500.1102
129	298315.9556
130	298197.0877
131	298067.0664
132	297956.5526
133	297811.7781
134	297645.5516
135	297484.4139
136	297383.6951
137	297268.2965
138	297084.8853
139	296985.9324
140	296863.4128
141	296745.7583
142	296585.6789
143	296403.9985
144	296284.8585
145	296167.4181
146	296032.7713
147	295920.9034
