iter	Passed	Remaining
0	7	3821
1	15	3796
2	21	3642
3	28	3570
4	35	3563
5	43	3541
6	50	3562
7	57	3522
8	64	3516
9	71	3514
10	78	3492
11	85	3472
12	92	3450
13	99	3442
14	105	3425
15	113	3419
16	120	3416
17	127	3405
18	134	3408
19	142	3414
20	149	3399
21	156	3398
22	164	3406
23	171	3400
24	178	3390
25	185	3386
26	192	3364
27	199	3362
28	206	3350
29	213	3349
30	220	3336
31	227	3321
32	234	3314
33	241	3306
34	249	3310
35	257	3322
36	265	3317
37	272	3309
38	279	3307
39	286	3294
40	293	3287
41	300	3279
42	307	3269
43	314	3256
44	320	3241
45	327	3230
46	334	3222
47	340	3210
48	347	3200
49	354	3192
50	361	3185
51	368	3171
52	374	3161
53	382	3158
54	388	3147
55	396	3139
56	402	3128
57	409	3118
58	415	3108
59	422	3100
60	429	3091
61	436	3081
62	443	3075
63	449	3063
64	456	3057
65	463	3047
66	470	3037
67	478	3038
68	489	3057
69	500	3072
70	511	3091
71	519	3088
72	526	3082
73	536	3091
74	544	3084
75	551	3077
76	558	3069
77	565	3057
78	571	3047
79	578	3036
80	585	3026
81	592	3019
82	599	3010
83	605	3000
84	612	2990
85	619	2980
86	626	2973
87	632	2962
88	639	2954
89	647	2948
90	654	2939
91	661	2931
92	667	2921
93	674	2913
94	681	2904
95	687	2895
96	695	2890
97	702	2883
98	709	2875
99	716	2864
100	723	2858
101	730	2851
102	738	2845
103	745	2839
104	752	2832
105	759	2823
106	766	2813
107	773	2808
108	780	2798
109	787	2790
110	794	2783
111	801	2776
112	808	2769
113	815	2759
114	821	2751
115	828	2742
116	835	2734
117	841	2725
118	848	2716
119	855	2709
120	861	2699
121	868	2692
122	875	2683
123	882	2674
124	889	2668
125	896	2659
126	902	2651
127	909	2643
128	916	2636
129	923	2629
130	930	2620
131	937	2612
132	943	2604
133	951	2597
134	958	2591
135	966	2585
136	972	2578
137	980	2570
138	987	2564
139	994	2556
140	1001	2551
141	1008	2543
142	1015	2536
143	1023	2529
144	1029	2520
145	1036	2513
146	1043	2506
147	1050	2499
148	1057	2490
149	1064	2484
150	1071	2476
151	1078	2468
152	1085	2460
153	1091	2452
154	1098	2445
155	1105	2438
156	1112	2431
157	1119	2423
158	1126	2416
159	1134	2410
160	1140	2402
161	1147	2394
162	1155	2388
163	1162	2381
164	1169	2374
165	1176	2367
166	1183	2359
167	1190	2353
168	1198	2347
169	1205	2340
170	1213	2334
171	1220	2327
172	1227	2320
173	1235	2314
174	1242	2307
175	1250	2301
176	1257	2295
177	1265	2288
178	1272	2281
179	1279	2274
180	1286	2266
181	1293	2259
182	1299	2251
183	1306	2243
184	1313	2236
185	1320	2229
186	1328	2223
187	1335	2215
188	1342	2208
189	1348	2200
190	1355	2193
191	1363	2186
192	1370	2179
193	1377	2172
194	1384	2165
195	1391	2157
196	1398	2150
197	1405	2143
198	1412	2135
199	1418	2128
200	1426	2121
201	1433	2114
